"Month","Cafe_Expenditure"
1991-11-01,0.9538
1991-12-01,1.0483
1992-01-01,0.9383
1992-02-01,0.8615
1992-03-01,0.9361
1992-04-01,0.932
1992-05-01,0.9294
1992-06-01,0.8685
1992-07-01,0.8913
1992-08-01,0.8755
1992-09-01,0.9141
1992-10-01,0.9357
1992-11-01,0.9318
1992-12-01,1.0458
1993-01-01,0.9178
1993-02-01,0.8381
1993-03-01,0.8698
1993-04-01,0.8621
1993-05-01,0.8521
1993-06-01,0.8276
1993-07-01,0.8823
1993-08-01,0.8669
1993-09-01,0.9049
1993-10-01,0.9312
1993-11-01,0.963
1993-12-01,1.0995
1994-01-01,0.9845
1994-02-01,0.9016
1994-03-01,1.0152
1994-04-01,0.9391
1994-05-01,0.9414
1994-06-01,0.9348
1994-07-01,1.0133
1994-08-01,1.0175
1994-09-01,1.0407
1994-10-01,1.0618
1994-11-01,1.0702
1994-12-01,1.1883
1995-01-01,1.0763
1995-02-01,0.9816
1995-03-01,1.0989
1995-04-01,1.0678
1995-05-01,1.0833
1995-06-01,1.045
1995-07-01,1.0944
1995-08-01,1.1097
1995-09-01,1.1261
1995-10-01,1.1665
1995-11-01,1.1943
1995-12-01,1.3147
1996-01-01,1.2131
1996-02-01,1.128
1996-03-01,1.18
1996-04-01,1.1693
1996-05-01,1.1457
1996-06-01,1.109
1996-07-01,1.1381
1996-08-01,1.1457
1996-09-01,1.1049
1996-10-01,1.1422
1996-11-01,1.1294
1996-12-01,1.2308
1997-01-01,1.1801
1997-02-01,1.0595
1997-03-01,1.148
1997-04-01,1.1413
1997-05-01,1.1703
1997-06-01,1.1135
1997-07-01,1.1646
1997-08-01,1.1733
1997-09-01,1.1541
1997-10-01,1.2048
1997-11-01,1.1837
1997-12-01,1.3067
1998-01-01,1.1859
1998-02-01,1.05
1998-03-01,1.1411
1998-04-01,1.1067
1998-05-01,1.1442
1998-06-01,1.0882
1998-07-01,1.1622
1998-08-01,1.1448
1998-09-01,1.1495
1998-10-01,1.2586
1998-11-01,1.2008
1998-12-01,1.3102
1999-01-01,1.244
1999-02-01,1.1244
1999-03-01,1.2454
1999-04-01,1.236
1999-05-01,1.2714
1999-06-01,1.208
1999-07-01,1.2192
1999-08-01,1.2336
1999-09-01,1.2613
1999-10-01,1.3144
1999-11-01,1.3183
1999-12-01,1.4553
2000-01-01,1.2974
2000-02-01,1.2067
2000-03-01,1.3246
2000-04-01,1.2525
2000-05-01,1.2821
2000-06-01,1.2747
2000-07-01,1.3179
2000-08-01,1.3288
2000-09-01,1.4324
2000-10-01,1.4608
2000-11-01,1.4163
2000-12-01,1.5386
2001-01-01,1.4708
2001-02-01,1.338
2001-03-01,1.5212
2001-04-01,1.4413
2001-05-01,1.4461
2001-06-01,1.3976
2001-07-01,1.4774
2001-08-01,1.5046
2001-09-01,1.4372
2001-10-01,1.4885
2001-11-01,1.4829
2001-12-01,1.6114
2002-01-01,1.4821
2002-02-01,1.3298
2002-03-01,1.4789
2002-04-01,1.4604
2002-05-01,1.4819
2002-06-01,1.4249
2002-07-01,1.5273
2002-08-01,1.5516
2002-09-01,1.4951
2002-10-01,1.5566
2002-11-01,1.5719
2002-12-01,1.734
2003-01-01,1.6204
2003-02-01,1.4218
2003-03-01,1.5742
2003-04-01,1.5891
2003-05-01,1.6574
2003-06-01,1.5542
2003-07-01,1.6994
2003-08-01,1.7378
2003-09-01,1.7094
2003-10-01,1.8784
2003-11-01,1.8384
2003-12-01,2.0483
2004-01-01,1.8952
2004-02-01,1.7658
2004-03-01,1.8728
2004-04-01,1.8737
2004-05-01,1.8462
2004-06-01,1.7585
2004-07-01,1.8782
2004-08-01,1.8501
2004-09-01,1.9215
2004-10-01,1.9145
2004-11-01,1.8399
2004-12-01,2.0419
2005-01-01,1.7987
2005-02-01,1.6612
2005-03-01,1.7803
2005-04-01,1.809
2005-05-01,1.7889
2005-06-01,1.7689
2005-07-01,1.869
2005-08-01,1.8134
2005-09-01,1.8458
2005-10-01,1.9781
2005-11-01,1.965
2005-12-01,2.1528
2006-01-01,1.9138
2006-02-01,1.7501
2006-03-01,1.9838
2006-04-01,1.9665
2006-05-01,2.0051
2006-06-01,1.9436
2006-07-01,2.0192
2006-08-01,2.0432
2006-09-01,2.0387
2006-10-01,2.1133
2006-11-01,2.1094
2006-12-01,2.2973
2007-01-01,2.0971
2007-02-01,1.939
2007-03-01,2.1919
2007-04-01,2.134
2007-05-01,2.1455
2007-06-01,2.1338
2007-07-01,2.1784
2007-08-01,2.2579
2007-09-01,2.1795
2007-10-01,2.2573
2007-11-01,2.2846
2007-12-01,2.4611
2008-01-01,2.1635
2008-02-01,2.0867
2008-03-01,2.1594
2008-04-01,2.1482
2008-05-01,2.1767
2008-06-01,2.0899
2008-07-01,2.1726
2008-08-01,2.204
2008-09-01,2.1242
2008-10-01,2.3024
2008-11-01,2.2428
2008-12-01,2.4794
2009-01-01,2.3183
2009-02-01,2.0695
2009-03-01,2.3032
2009-04-01,2.3269
2009-05-01,2.4017
2009-06-01,2.263
2009-07-01,2.4151
2009-08-01,2.4461
2009-09-01,2.4307
2009-10-01,2.602
2009-11-01,2.5699
2009-12-01,2.8971
2010-01-01,2.5213
2010-02-01,2.3239
2010-03-01,2.6075
2010-04-01,2.5358
2010-05-01,2.5714
2010-06-01,2.5049
2010-07-01,2.7813
2010-08-01,2.8
2010-09-01,2.7428
2010-10-01,2.7302
2010-11-01,2.6844
2010-12-01,3.0211
2011-01-01,2.5982
2011-02-01,2.3913
2011-03-01,2.6489
2011-04-01,2.5989
2011-05-01,2.6041
2011-06-01,2.5195
2011-07-01,2.7019
2011-08-01,2.7396
2011-09-01,2.7443
2011-10-01,2.8144
2011-11-01,2.7842
2011-12-01,3.0466
2012-01-01,2.7295
2012-02-01,2.556
2012-03-01,2.8393
2012-04-01,2.7374
2012-05-01,2.8367
2012-06-01,2.7848
2012-07-01,2.9322
2012-08-01,2.9627
2012-09-01,2.8859
2012-10-01,2.9667
2012-11-01,2.9731
2012-12-01,3.1775
2013-01-01,2.8496
2013-02-01,2.6077
2013-03-01,2.924
2013-04-01,2.8535
2013-05-01,2.9015
2013-06-01,2.813
2013-07-01,2.9684
2013-08-01,3.0651
2013-09-01,2.9887
2013-10-01,3.1754
2013-11-01,3.2108
2013-12-01,3.5368
2014-01-01,3.2091
2014-02-01,2.8799
2014-03-01,3.232
2014-04-01,3.1821
2014-05-01,3.2283
2014-06-01,3.0675
2014-07-01,3.3158
2014-08-01,3.3507
2014-09-01,3.3604
2014-10-01,3.4016
2014-11-01,3.3749
2014-12-01,3.6927
2015-01-01,3.3913
2015-02-01,3.0275
2015-03-01,3.3619
2015-04-01,3.2665
2015-05-01,3.314
2015-06-01,3.2575
2015-07-01,3.4453
2015-08-01,3.4211
2015-09-01,3.4444
2015-10-01,3.5258
2015-11-01,3.4913
2015-12-01,3.8199
2016-01-01,3.4318
2016-02-01,3.1869
2016-03-01,3.4352
2016-04-01,3.4517
2016-05-01,3.431
2016-06-01,3.3139
2016-07-01,3.573
2016-08-01,3.6475
2016-09-01,3.6963
2016-10-01,3.7166
2016-11-01,3.6785
2016-12-01,4.0473
2017-01-01,3.6214
2017-02-01,3.2606
2017-03-01,3.619
2017-04-01,3.567
2017-05-01,3.5986
2017-06-01,3.5442
2017-07-01,3.6981
2017-08-01,3.7112
2017-09-01,3.7297
